transaction_id,amount_nis,hour,online_purchase,country_match,previous_declines,fraud
T001,58.31,8,0,1,0,0
T002,50.33,1,0,1,0,0
T003,170.37,22,1,1,0,0
T004,127.13,10,0,1,1,0
T005,47.23,11,1,1,1,0
T006,77.65,12,0,1,0,0
T007,169.82,1,1,1,3,1
T008,65.55,14,1,1,0,0
T009,328.77,21,1,1,0,0
T010,118.64,8,1,1,0,0
T011,32.16,1,1,1,0,1
T012,639.65,15,0,0,0,0
T013,78.54,17,1,1,0,0
T014,1246.18,4,1,1,0,0
T015,88.25,21,1,1,0,0
T016,353.81,0,1,1,2,1
T017,618.43,13,0,1,1,0
T018,120.28,3,1,1,0,1
T019,143.34,5,1,1,0,0
T020,697.61,3,1,0,1,1
T021,190.82,18,1,1,0,0
T022,75.52,15,1,1,0,0
T023,2050.76,17,1,1,1,1
T024,932.36,16,1,1,0,0
T025,225.84,0,0,1,0,0
T026,609.88,7,0,1,0,0
T027,3876.18,15,1,1,0,1
T028,928.22,14,1,1,0,0
T029,33.98,10,1,1,0,0
T030,2230.14,5,0,1,2,1
T031,58.83,17,1,0,2,1
T032,116.63,15,0,1,0,0
T033,27.49,8,1,1,0,0
T034,3765.04,9,0,1,1,0
T035,607.0,18,1,0,0,0
T036,54.16,2,1,1,0,0
T037,225.21,1,1,1,0,1
T038,791.29,6,1,1,0,0
T039,444.23,2,0,1,0,0
T040,49.55,16,0,0,2,1
T041,888.72,14,1,1,0,0
T042,25.21,17,0,1,2,0
T043,274.23,3,1,1,0,0
T044,637.76,20,1,1,0,0
T045,50.97,8,0,1,0,0
T046,128.68,17,1,1,0,0
T047,38.51,18,1,1,0,0
T048,39.19,6,1,1,0,0
T049,2055.87,23,0,0,2,1
T050,1543.38,23,1,1,0,0
