species,bill_length_mm,is_chinstrap
Adelie,39.1,0
Chinstrap,46.5,1
Adelie,39.5,0
Chinstrap,50,1
Adelie,40.3,0
Chinstrap,51.3,1
Adelie,36.7,0
Chinstrap,45.4,1
Adelie,39.3,0
Chinstrap,52.7,1
Adelie,38.9,0
Chinstrap,45.2,1
Adelie,39.2,0
Chinstrap,46.1,1
Adelie,34.1,0
Chinstrap,51.3,1
Adelie,42,0
Chinstrap,46,1
Adelie,37.8,0
Chinstrap,51.3,1
Adelie,37.8,0
Chinstrap,46.6,1
Adelie,41.1,0
Chinstrap,51.7,1
Adelie,38.6,0
Chinstrap,47,1
Adelie,34.6,0
Chinstrap,52,1
Adelie,36.6,0
Chinstrap,45.9,1
Adelie,38.7,0
Chinstrap,50.5,1
Adelie,42.5,0
Chinstrap,50.3,1
Adelie,34.4,0
Chinstrap,58,1
Adelie,46,0
Chinstrap,46.4,1
Adelie,37.8,0
Chinstrap,49.2,1
Adelie,37.7,0
Chinstrap,42.4,1
Adelie,35.9,0
Chinstrap,48.5,1
Adelie,38.2,0
Chinstrap,43.2,1
Adelie,38.8,0
Chinstrap,50.6,1
Adelie,35.3,0
Chinstrap,46.7,1
Adelie,40.6,0
Chinstrap,52,1
Adelie,40.5,0
Chinstrap,50.5,1
Adelie,37.9,0
Chinstrap,49.5,1
Adelie,40.5,0
Chinstrap,46.4,1
Adelie,39.5,0
Chinstrap,52.8,1
Adelie,37.2,0
Chinstrap,40.9,1
Adelie,39.5,0
Chinstrap,54.2,1
Adelie,40.9,0
Chinstrap,42.5,1
Adelie,36.4,0
Chinstrap,51,1
Adelie,39.2,0
Chinstrap,49.7,1
Adelie,38.8,0
Chinstrap,47.5,1
Adelie,42.2,0
Chinstrap,47.6,1
Adelie,37.6,0
Chinstrap,52,1
Adelie,39.8,0
Chinstrap,46.9,1
Adelie,36.5,0
Chinstrap,53.5,1
Adelie,40.8,0
Chinstrap,49,1
Adelie,36,0
Chinstrap,46.2,1
Adelie,44.1,0
Chinstrap,50.9,1
Adelie,37,0
Chinstrap,45.5,1
Adelie,39.6,0
Chinstrap,50.9,1
Adelie,41.1,0
Chinstrap,50.8,1
Adelie,37.5,0
Chinstrap,50.1,1
Adelie,36,0
Chinstrap,49,1
Adelie,42.3,0
Chinstrap,51.5,1
Adelie,39.6,0
Chinstrap,49.8,1
Adelie,40.1,0
Chinstrap,48.1,1
Adelie,35,0
Chinstrap,51.4,1
Adelie,42,0
Chinstrap,45.7,1
Adelie,34.5,0
Chinstrap,50.7,1
Adelie,41.4,0
Chinstrap,42.5,1
Adelie,39,0
Chinstrap,52.2,1
Adelie,40.6,0
Chinstrap,45.2,1
Adelie,36.5,0
Chinstrap,49.3,1
Adelie,37.6,0
Chinstrap,50.2,1
Adelie,35.7,0
Chinstrap,45.6,1
Adelie,41.3,0
Chinstrap,51.9,1
Adelie,37.6,0
Chinstrap,46.8,1
Adelie,41.1,0
Chinstrap,45.7,1
Adelie,36.4,0
Chinstrap,55.8,1
Adelie,41.6,0
Chinstrap,43.5,1
Adelie,35.5,0
Chinstrap,49.6,1
Adelie,41.1,0
Chinstrap,50.8,1
Adelie,35.9,0
Chinstrap,50.2,1
Adelie,41.8,0
Adelie,33.5,0
Adelie,39.7,0
Adelie,39.6,0
Adelie,45.8,0
Adelie,35.5,0
Adelie,42.8,0
Adelie,40.9,0
Adelie,37.2,0
Adelie,36.2,0
Adelie,42.1,0
Adelie,34.6,0
Adelie,42.9,0
Adelie,36.7,0
Adelie,35.1,0
Adelie,37.3,0
Adelie,41.3,0
Adelie,36.3,0
Adelie,36.9,0
Adelie,38.3,0
Adelie,38.9,0
Adelie,35.7,0
Adelie,41.1,0
Adelie,34,0
Adelie,39.6,0
Adelie,36.2,0
Adelie,40.8,0
Adelie,38.1,0
Adelie,40.3,0
Adelie,33.1,0
Adelie,43.2,0
Adelie,35,0
Adelie,41,0
Adelie,37.7,0
Adelie,37.8,0
Adelie,37.9,0
Adelie,39.7,0
Adelie,38.6,0
Adelie,38.2,0
Adelie,38.1,0
Adelie,43.2,0
Adelie,38.1,0
Adelie,45.6,0
Adelie,39.7,0
Adelie,42.2,0
Adelie,39.6,0
Adelie,42.7,0
Adelie,38.6,0
Adelie,37.3,0
Adelie,35.7,0
Adelie,41.1,0
Adelie,36.2,0
Adelie,37.7,0
Adelie,40.2,0
Adelie,41.4,0
Adelie,35.2,0
Adelie,40.6,0
Adelie,38.8,0
Adelie,41.5,0
Adelie,39,0
Adelie,44.1,0
Adelie,38.5,0
Adelie,43.1,0
Adelie,36.8,0
Adelie,37.5,0
Adelie,38.1,0
Adelie,41.1,0
Adelie,35.6,0
Adelie,40.2,0
Adelie,37,0
Adelie,39.7,0
Adelie,40.2,0
Adelie,40.6,0
Adelie,32.1,0
Adelie,40.7,0
Adelie,37.3,0
Adelie,39,0
Adelie,39.2,0
Adelie,36.6,0
Adelie,36,0
Adelie,37.8,0
Adelie,36,0
Adelie,41.5,0
