eventid,iyear,imonth,iday,extended,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,gname,motive,guncertain1,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,ransom,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,date,month,day_of_week
197109160001,1971,9,16,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,18,Tourists,97.0,Tourist,,U.S. Tourists,217.0,United States,Unknown,,0.0,0,,,,,,,6,Explosives,16.0,Unknown Explosive Type,Explosive,1.0,,,11.0,,,1,4.0,Unknown,,,0.0,0.0,,,,,PGIS,-9,-9,1,1,1971-09-16,9.0,3.0
197201160001,1972,1,16,0,Gaza Strip,Gaza,31.502407,34.459743,1.0,0,,,1,1,1,-9,,,0.0,1,0,2,Armed Assault,14,Private Citizens & Property,77.0,Laborer (General)/Occupation Identified,US Medical Staff,Nurse,217.0,United States,Unknown,,0.0,0,,,,,,,5,Firearms,5.0,Unknown Gun Type,Firearms,1.0,1.0,0.0,3.0,0.0,0.0,1,,,,,0.0,0.0,,,,,State Department 1997 Document,-9,-9,1,1,1972-01-16,1.0,6.0
197205300001,1972,5,30,0,Central,Lod,32.004361,34.888229,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,6,Airports & Aircraft,44.0,Airport,,Aircraft Terminal,97.0,Israel,Japanese Red Army (JRA),,0.0,0,5.0,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,Automatic firearms; Grenades,26.0,,,72.0,,,1,3.0,Minor (likely < $1 million),60000.0,,0.0,0.0,,,,,PGIS,1,1,0,1,1972-05-30,5.0,1.0
197209200003,1972,9,20,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,The incident occurred on Jaffa street.,"09/20/1972: A letter bomb addressed to Shimon Peres, the Communications Minister, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,2,Government (General),18.0,"Government Personnel (excluding police, military)",Ministry of Communications,Minister: Shimon Peres,97.0,Israel,Black September,,0.0,0,-99.0,-99.0,1.0,5.0,Note left at scene,,6,Explosives,9.0,Letter Bomb,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.",UMD Miscellaneous,1,1,0,1,1972-09-20,9.0,2.0
197209200004,1972,9,20,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,The incident occurred on Jaffa street.,"09/20/1972: A letter bomb addressed to Dr. M. A. Kurtz, the Ministry of Welfare Director General, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,2,Government (General),18.0,"Government Personnel (excluding police, military)",Ministry of Welfare,Director General: Dr. M. A. Kurtz,97.0,Israel,Black September,,0.0,0,-99.0,-99.0,1.0,5.0,Note left at scene,,6,Explosives,9.0,Letter Bomb,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.",UMD Miscellaneous,1,1,0,1,1972-09-20,9.0,2.0
197209200005,1972,9,20,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,The incident occurred on Jaffa street.,"09/20/1972: A letter bomb addressed to Michael Hazani, the Welfare Minister, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,2,Government (General),18.0,"Government Personnel (excluding police, military)",Ministry of Welfare,Minister: Michael Hazani,97.0,Israel,Black September,,0.0,0,-99.0,-99.0,1.0,5.0,Note left at scene,,6,Explosives,9.0,Letter Bomb,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.",UMD Miscellaneous,1,1,0,1,1972-09-20,9.0,2.0
197209200006,1972,9,20,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,The incident occurred on Jaffa street.,"09/20/1972: A letter bomb addressed to Arie Pincus, a The Jewish Agency executive chairperson, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of two letter bombs addressed to Pincus and one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,12,NGO,61.0,Domestic NGO,The Jewish Agency,Executive Chairperson: Arie Pincus,97.0,Israel,Black September,,0.0,0,-99.0,-99.0,1.0,5.0,Note left at scene,,6,Explosives,9.0,Letter Bomb,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.",UMD Miscellaneous,1,1,0,1,1972-09-20,9.0,2.0
197209200007,1972,9,20,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,The incident occurred on Jaffa street.,"09/20/1972: A letter bomb addressed to Arie Pincus, a The Jewish Agency executive chairperson, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of two letter bombs addressed to Pincus and one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,12,NGO,61.0,Domestic NGO,The Jewish Agency,Executive Chairperson: Arie Pincus,97.0,Israel,Black September,,0.0,0,-99.0,-99.0,1.0,5.0,Note left at scene,,6,Explosives,9.0,Letter Bomb,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.",UMD Miscellaneous,1,1,0,1,1972-09-20,9.0,2.0
197209200008,1972,9,20,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,The incident occurred on Jaffa street.,"09/20/1972: A letter bomb addressed to Dr. Israel Goldstein was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,14,Private Citizens & Property,68.0,Named Civilian,Not Applicable,Dr. Israel Goldstein,97.0,Israel,Black September,,0.0,0,-99.0,-99.0,1.0,5.0,Note left at scene,,6,Explosives,9.0,Letter Bomb,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.",UMD Miscellaneous,1,1,0,1,1972-09-20,9.0,2.0
197209200009,1972,9,20,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,The incident occurred on Jaffa street.,"09/20/1972: A letter bomb addressed to Roberto Artzi, a Ministry of Finance employee, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,2,Government (General),18.0,"Government Personnel (excluding police, military)",Ministry of Finance,Employee: Roberto Artzi,97.0,Israel,Black September,,0.0,0,-99.0,-99.0,1.0,5.0,Note left at scene,,6,Explosives,9.0,Letter Bomb,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.",UMD Miscellaneous,1,1,0,1,1972-09-20,9.0,2.0
